Experimental_Interaction	db	publications
"[{'A0A6L7HE73', 'H0Y4B0'}]"	HPIdb;IntAct	{'20711500'}
"[{'H0Y4R1', 'P06821'}]"	HPIdb	{'26789921'}
"[{'H0Y512', 'P03468'}]"	HPIdb	{'26789921'}
"[{'H0Y6T8', 'P06465'}]"	HPIdb	{'22898364'}
"[{'P03433', 'H0YA96'}]"	HPIdb	{'26789921'}
"[{'P03496', 'H0YA96'}]"	HPIdb	{'26789921'}
"[{'P03427', 'H0YBB4'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03433', 'H0YJ40'}]"	HPIdb	{'26789921'}
"[{'H0YJ40', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'H0YJ40'}]"	HPIdb	{'26789921'}
"[{'Q5SZE2', 'P03468'}]"	HPIdb	{'26789921'}
"[{'H3BN98', 'P03468'}]"	HPIdb	{'26789921'}
"[{'A0A0H2VZE7', 'H3BNU4'}]"	IntAct	{'20711500'}
"[{'H3BNU4', 'Q8D045'}]"	IntAct	{'20711500'}
"[{'H3BNU4', 'Q8CKV8'}]"	IntAct	{'20711500'}
"[{'H3BR27', 'P03468'}]"	HPIdb	{'26789921'}
"[{'D2TK72', 'H3BR70'}]"	HPIdb;IntAct	{'27822540'}
"[{'P03427', 'H3BS86'}]"	HPIdb;IntAct	{'30833792'}
"[{'H3BSJ9', 'D2TK72'}]"	HPIdb;IntAct	{'27822540'}
"[{'H7BYD0', 'P03468'}]"	HPIdb	{'26789921'}
"[{'H7BYF7', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P06821', 'H7C3P6'}]"	HPIdb	{'26789921'}
"[{'H7C5E2', 'P03433'}]"	HPIdb	{'20064372'}
"[{'P06929', 'I3L0L0'}]"	HPIdb	{'22898364'}
"[{'P03427', 'I3L318'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03427', 'I3L318'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03427', 'I3L318'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03433', 'I3L4A1'}]"	HPIdb	{'20064372'}
"[{'P04688', 'Q6QLM7'}]"	HPIdb;IntAct	{'18794845'}
"[{'P06821', 'J3KT10'}]"	HPIdb	{'26789921'}
"[{'J3KTA4', 'P03496'}]"	HPIdb	{'26789921'}
"[{'P06821', 'J3QT28'}]"	HPIdb	{'26789921'}
"[{'Q9HCA8', 'A0A2S9PLH1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9HCA8', 'A0A6L7HNZ8'}]"	HPIdb;IntAct	{'20711500'}
"[{'K7EJR3', 'P03468'}]"	HPIdb	{'26789921'}
"[{'K7EJR3', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03427', 'V9GY61'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03433', 'K7EK07'}]"	HPIdb	{'26789921'}
"[{'P03496', 'K7EK07'}]"	HPIdb	{'26789921'}
"[{'K7EK07', 'P03508'}]"	HPIdb	{'26789921'}
"[{'Q9HCA8', 'A0A2S9PLH1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9HCA8', 'A0A6L7HNZ8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03433', 'K7EQ03'}]"	HPIdb	{'26789921'}
"[{'P03496', 'K7EQ03'}]"	HPIdb	{'26789921'}
"[{'K7ES69', 'P06821'}]"	HPIdb	{'26789921'}
"[{'M0QZM1', 'D2TRA0'}]"	HPIdb;IntAct	{'27822540'}
"[{'A0A6L7HFV2', 'O00116'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00116', 'P06821'}]"	HPIdb	{'26789921'}
"[{'O00116', 'P12520'}]"	HPIdb;IntAct	{'22190034'}
"[{'A0A0F6B1Q8', 'O00116'}]"	Manual	{'34237247'}
"[{'M4NKV9', 'O00144'}]"	IntAct	{'29748286'}
"[{'P03468', 'O00148'}]"	HPIdb	{'26789921'}
"[{'P03496', 'O00148'}]"	HPIdb	{'26789921'}
"[{'P06821', 'O00148'}]"	HPIdb	{'26789921'}
"[{'Q8D044', 'O00148'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00151', 'A0A6L7HQ21'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00151', 'A0A6L8P2X1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YGH0', 'O00151'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00154', 'A0A5P8YE16'}]"	HPIdb;IntAct	{'20711500'}
"[{'D0ZVG2', 'O00159'}]"	Manual	{'34237247'}
"[{'O00159', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O00159'}]"	HPIdb;IntAct	{'22810585'}
"[{'P06821', 'O00159'}]"	HPIdb	{'26789921'}
"[{'O00160', 'D0ZPH9'}]"	Manual	{'34237247'}
"[{'O84951', 'O00161'}]"	Manual	{'31611645'}
"[{'Q56061', 'O00161'}]"	Manual	{'31611645'}
"[{'Q8ZMM8', 'O00161'}]"	Manual	{'31611645'}
"[{'Q8ZQC8', 'O00161'}]"	Manual	{'31611645'}
"[{'O00165', 'Q5NFJ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A5P8YFI0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A0J1KLZ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HH25', 'O00165'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q7ARD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A0F7R9R7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6L7H2Q9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6L7H5N1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6L7HHZ0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6H3AND8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8CLE0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8CKN6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6L7HRI8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A0H2YE71'}, {'O00165', 'A0A6B3T555'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q81VT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q5NE99'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q7CG77'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6H3ACS9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A4Y1WB04'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'P03427'}]"	HPIdb;IntAct	{'30833792'}
"[{'O00165', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'O00165', 'A0A3N4AYP8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PL54', 'O00165'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A380PD11'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8ZIY3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'P69722'}]"	HPIdb	{'16227293'}
"[{'O00165', 'A0A2P0H993'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A5P8YBY1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A380PNP6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZR2', 'O00165'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q81WU4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8D014'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'P69961'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A380PFG3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0E1P173', 'O00165'}, {'O00165', 'A0A6B3T3E6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q81KV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'A0A6L8PU14'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q81M67'}]"	HPIdb;IntAct	{'20711500'}
