Experimental_Interaction	db	publications
"[{'Q8NFM4', 'A0A3Q0PRJ6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NFP7', 'Q7CK09'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HD79', 'Q8NFP9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NFP9', 'Q8CWG4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NFQ8', 'O84952'}]"	Manual	{'31611645'}
"[{'Q81LB0', 'Q8NFW8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NG08', 'Q8D0H6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZI64', 'Q8NHG8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NHH9', 'A0A0H2XDM6'}]"	Manual	{'23800426'}
"[{'Q8NHH9', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q8NHJ6', 'Q4VP87'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NHL6', 'Q4VP87'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NHL6', 'A0A6L8P7D1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84952', 'Q8NHP6'}]"	Manual	{'31611645'}
"[{'A0A6L7HGH8', 'Q8NHP6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84008', 'Q8NHP6'}]"	IntAct	{'26118995'}
"[{'Q8NHQ1', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'Q8NHQ1', 'P03508'}]"	HPIdb	{'20064372'}
"[{'Q8NHQ9', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q83D60', 'Q8NHS9'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q83DE4', 'Q8NHS9'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q8NHY2', 'A0A0F7REZ1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NET3', 'Q8NHY2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'Q8NI08'}]"	Manual	{'23800426'}
"[{'Q8D0R7', 'Q8NI08'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZEC9', 'Q8NI22'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFY4', 'Q8NI27'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8NI27', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'Q8NI27', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P06821', 'Q8NI27'}]"	HPIdb	{'26789921'}
"[{'Q8NI35', 'Q5NI89'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q6VGT1', 'Q8NI38'}]"	HPIdb;IntAct	{'22810586'}
"[{'A0A380PEL1', 'Q8NI60'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5T7A2', 'P06821'}, {'P06821', 'Q8NI60'}]"	HPIdb;IntAct	"{'26789921', '28169297'}"
"[{'Q8D134', 'Q8NI60'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84951', 'Q8TAA9'}]"	Manual	{'31611645'}
"[{'O84008', 'Q8TAA9'}]"	IntAct	{'26118995'}
"[{'Q56061', 'Q8TAA9'}]"	Manual	{'31611645'}
"[{'Q8ZMM8', 'Q8TAA9'}]"	Manual	{'31611645'}
"[{'Q8TAB5', 'Q5NHM0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YG85', 'Q8TAD8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WAS6', 'Q8TAF3'}]"	Manual	{'23800426'}
"[{'Q83A33', 'Q8TAF3'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q8TAF3', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'Q5NEM9', 'Q8TAF3'}]"	IntAct	{'26714771'}
"[{'Q5NHH2', 'Q8TAF3'}]"	IntAct	{'26714771'}
"[{'Q8TAF3', 'Q5NES6'}]"	IntAct	{'26714771'}
"[{'O84008', 'Q8TAF3'}]"	IntAct	{'26118995'}
"[{'Q8TAF3', 'Q62B10'}]"	Manual	{'23800426'}
"[{'Q83A11', 'Q8TAF3'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A0H2WD43', 'Q8TAF3'}]"	Manual	{'23800426'}
"[{'Q8TAF8', 'A0A6L8P457'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEC5', 'Q8TAL5'}]"	IntAct	{'26714771'}
"[{'Q8TAQ2', 'Q8CZK5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HSZ9', 'Q8TAQ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TAQ2', 'A0A6L8NXL2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'Q8TAQ2'}]"	HPIdb	{'26789921'}
"[{'Q8TAQ2', 'P03508'}]"	HPIdb	{'26789921'}
"[{'Q8TAQ2', 'Q81U22'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TAQ2', 'Q81XH4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6H3A910', 'Q8TB24'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2S9PIH8', 'Q8TB24'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZJJ7', 'Q8TB24'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q8TB52'}]"	HPIdb;IntAct	{'28611246'}
"[{'Q8ZJF3', 'Q8TB72'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84952', 'Q8TBA6'}]"	Manual	{'31611645'}
"[{'O84951', 'Q8TBA6'}]"	Manual	{'31611645'}
"[{'Q56061', 'Q8TBA6'}]"	Manual	{'31611645'}
"[{'Q7ARD3', 'Q8TBE9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TBF4', 'A0A0H2WCL3'}]"	Manual	{'23800426'}
"[{'Q8TBK6', 'Q5ZXN6'}]"	IntAct	{'29433439'}
"[{'Q8TBP6', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q8TBQ9', 'Q5NEM9'}]"	IntAct	{'26714771'}
"[{'Q5NHH2', 'Q8TBQ9'}]"	IntAct	{'26714771'}
"[{'P06929', 'Q8TBR4'}]"	HPIdb;IntAct	{'22898364'}
"[{'Q8TBV9', 'A0A6L8PQC3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TBX8', 'O84008'}]"	IntAct	{'26118995'}
"[{'Q8TBY8', 'Q8CZZ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TBY8', 'A0A6H3AJ02'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TBZ0', 'Q81TW1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3P1TZI9', 'Q8TC12'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'Q8TC29'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A0H2WD43', 'Q8TC71'}]"	Manual	{'23800426'}
"[{'Q0WHY6', 'Q8TC76'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCL3', 'Q8TC84'}]"	Manual	{'23800426'}
"[{'Q62M26', 'Q8TC84'}]"	Manual	{'23800426'}
"[{'Q81TB4', 'Q8TCB0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HIL3', 'Q8TCC7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCD6', 'Q8D131'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'Q8TCE6'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A3Q0PRJ6', 'Q8TCF1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2XDA5', 'Q8TCG2'}]"	Manual	{'23800426'}
"[{'Q5NES6', 'Q8TCG2'}]"	IntAct	{'26714771'}
"[{'Q8TCJ2', 'O84952'}]"	Manual	{'31611645'}
"[{'Q8TCJ2', 'O84008'}]"	IntAct	{'26118995'}
"[{'Q8CZW4', 'Q8TCJ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCP9', 'A0A6H3AI34'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCP9', 'Q5NFK7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03105', 'Q8TCT4'}]"	HPIdb;IntAct	{'12482659'}
"[{'Q8TCT7', 'Q8CZV1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F6B1Q8', 'Q8TCT9'}]"	Manual	{'34237247'}
"[{'A0A0H2XDA5', 'Q8TCU3'}]"	Manual	{'23800426'}
"[{'Q8TCU3', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'A0A0H2XDM6', 'Q8TCU3'}]"	Manual	{'23800426'}
"[{'Q83A11', 'Q8TCU3'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q83D60', 'Q8TCU3'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A0H2WD43', 'Q8TCU3'}]"	Manual	{'23800426'}
"[{'Q8TCU6', 'A0A6L8PRN6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCU6', 'A0A6L8PM02'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCU6', 'Q5NI89'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TCU6', 'A0A0H2YGU6'}, {'A0A6B3T6Y5', 'Q8TCU6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NF74', 'Q8TCU6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PXW6', 'Q8TCZ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03508', 'Q8TD10'}]"	HPIdb	{'20064372'}
"[{'A0A0H2WD43', 'Q8TD10'}]"	Manual	{'23800426'}
"[{'A0A5P8YL50', 'Q8TD16'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PMY4', 'Q8TD16'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q8TD20'}]"	HPIdb	{'25464832'}
"[{'Q8TD26', 'A0A5P8YBG4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4AWI2', 'Q8TD26'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TD26', 'A0A6H3A7A0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TD26', 'Q8D1R8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q6VGT1', 'Q8TD31'}]"	HPIdb;IntAct	{'22810586'}
"[{'Q8TD31', 'P03508'}]"	HPIdb;IntAct	{'23853584'}
"[{'P61416', 'Q8TD31'}]"	HPIdb;IntAct	{'21911467'}
"[{'A0A0F6AZL3', 'Q8TDB6'}]"	Manual	{'34237247'}
"[{'Q5NF78', 'Q8TDG4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDL5', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q8TDM2', 'A0A5P8YFD8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDM6', 'A0A0H2WCL3'}]"	Manual	{'23800426'}
"[{'Q8TDM6', 'Q8CKQ9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q56061', 'Q8TDN6'}]"	Manual	{'31611645'}
"[{'A0A6L8P574', 'Q8TDR0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'Q5NEP4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'A0A5P8YI42'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'A0A6L7H167'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'Q8ZJ16'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'Q0WEG0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'Q0WJQ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'A0A5P8YCS1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TDU6', 'A0A0H2YK88'}, {'Q8TDU6', 'A0A6B3SX06'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q8TDX6'}]"	HPIdb;IntAct	{'28611246'}
"[{'Q7ARD3', 'Q8TDX7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZEX9', 'Q8TDY2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81U22', 'Q8TDY2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'H0UI45'}]"	HPIdb;IntAct	{'28611246'}
"[{'P03427', 'Q8TE49'}]"	HPIdb;IntAct	{'28611246'}
"[{'A0A0F6B1Q8', 'Q8TEA8'}]"	Manual	{'34237247'}
"[{'Q8TEB1', 'Q8XB62'}]"	HPIdb;IntAct	{'27018634'}
"[{'Q8TEB1', 'P69722'}]"	HPIdb	{'22190034'}
"[{'Q8TEB1', 'P12520'}]"	HPIdb;IntAct	{'22190034'}
"[{'Q8TED0', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q8TED9', 'Q81KT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEE7', 'Q8ZCT9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEG0', 'Q5NHZ4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A4Y1W4N6', 'Q8TEL6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEM1', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q8TEM1', 'Q81X77'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEM1', 'Q81S14'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCL3', 'Q8TEP8'}]"	Manual	{'23800426'}
"[{'Q8TEP8', 'Q62B10'}]"	Manual	{'23800426'}
"[{'Q8TEQ0', 'A0A3Q0PRD7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEQ0', 'A0A6L8PRU8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEQ6', 'D0ZPH9'}]"	Manual	{'34237247'}
"[{'Q8TEQ6', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'Q8TEQ6', 'Q81WR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEQ6', 'A0A6L8PT07'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TEQ6', 'P62616'}]"	HPIdb;IntAct	{'11714716'}
"[{'Q8TES7', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A0A3N4AWI2', 'Q8TEU7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZQC8', 'Q8TEV9'}]"	Manual	{'31611645'}
"[{'Q8ZBM5', 'Q8TEW8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84388', 'Q8TEX9'}]"	IntAct	{'26118995'}
"[{'P03468', 'Q8TEX9'}]"	HPIdb	{'26789921'}
"[{'P05777', 'Q8TEX9'}]"	HPIdb	{'25464832'}
"[{'P06821', 'Q8TEX9'}]"	HPIdb	{'26789921'}
"[{'Q81KT8', 'Q8TEX9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84819', 'Q8TF05'}]"	IntAct	{'26118995'}
"[{'A0A2U2H085', 'Q8TF05'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WHG6', 'Q8TF27'}]"	Manual	{'23800426'}
"[{'Q8TF32', 'A0A6L7HE73'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF39', 'P58411'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEN3', 'Q8TF65'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF65', 'A0A6L7HJD9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF65', 'A0A2U2H128'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF65', 'A0A0E1NWF8'}, {'Q8TF65', 'A0A380PKP7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF65', 'Q81ZE7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF65', 'A0A6L8PL93'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI92', 'Q8TF65'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81L31', 'Q8TF65'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8TF72', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A0A2U2H345', 'Q8TF74'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81WF2', 'Q8WTR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H5N1', 'Q8WTS1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7RE19', 'Q8WTS1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WTW3', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'A0A3P1U2X5', 'Q8WTX9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NEC5', 'Q8WU20'}]"	IntAct	{'26714771'}
"[{'Q8WU58', 'Q8D184'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WU58', 'Q5NIN7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WU58', 'Q7CK09'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84251', 'Q8WU67'}]"	IntAct	{'26118995'}
"[{'Q8ZIF7', 'Q8WU67'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HR87', 'Q8WU79'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1P5', 'Q8WU79'}]"	HPIdb;IntAct	{'20711500'}
"[{'P05777', 'Q8WU90'}]"	HPIdb	{'25464832'}
"[{'Q83DF6', 'Q8WU90'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q5NIP5', 'Q8WUA4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PL26', 'Q8WUA7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUE5', 'Q5WXW8'}]"	Manual	{'25739981'}
"[{'Q6VGT1', 'Q8WUF5'}]"	HPIdb;IntAct	{'25210169'}
"[{'P03433', 'Q8WUK0'}]"	HPIdb	{'20064372'}
"[{'P06821', 'Q8WUM0'}]"	HPIdb;IntAct	{'28169297'}
"[{'A0A6H3ACE8', 'Q8WUM4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUM4', 'Q7ARD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUM4', 'Q8ZCT2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUM4', 'A0A0H3LAS2'}]"	IntAct	{'30118682'}
"[{'Q8WUM4', 'Q8ZG09'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'Q8WUM9'}]"	Manual	{'23800426'}
"[{'Q8WUQ7', 'A0A6L7HRA4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'Q8WUU5'}]"	Manual	{'23800426'}
"[{'Q8WUW1', 'A0A2U2GYQ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUW1', 'P17778'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WUW1', 'A0A6L8PBX8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NF74', 'Q8WUX1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F6B1Q8', 'Q8WUX1'}]"	Manual	{'34237247'}
"[{'P03468', 'Q8WUY1'}]"	HPIdb	{'26789921'}
"[{'P06821', 'Q8WUY1'}]"	HPIdb	{'26789921'}
"[{'Q8WUY3', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'O84952', 'Q8WUY9'}]"	Manual	{'31611645'}
"[{'O84951', 'Q8WUY9'}]"	Manual	{'31611645'}
"[{'Q56061', 'Q8WUY9'}]"	Manual	{'31611645'}
"[{'Q8WUY9', 'Q8ZMM8'}]"	Manual	{'31611645'}
"[{'Q8D1G3', 'Q8WV15'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WV19', 'Q8Z9S7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WV24', 'Q8D016'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WV41', 'A0A384KVQ9'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q7DB85', 'Q8WV41'}]"	HPIdb;IntAct	{'25519916'}
"[{'A0A5P8YAI4', 'Q8WV44'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WD43', 'Q8WV83'}]"	Manual	{'23800426'}
"[{'Q8ZHI8', 'Q8WV93'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15682', 'Q8WVM0'}]"	HPIdb	{'25464832'}
"[{'Q5NFW7', 'Q8WVM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84952', 'Q8WVM8'}]"	Manual	{'31611645'}
"[{'Q8WVN6', 'Q7ARJ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84853', 'Q8WVP7'}]"	IntAct	{'26118995'}
"[{'Q8WVR3', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'A0A3N4AZU4', 'Q8WVT3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7GZL8', 'Q8WVT3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PL96', 'Q8WVT3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WVV9', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'Q8WVV9', 'Q83AV9'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q5NEC0', 'Q8WVX3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WVX9', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P06821', 'Q8WVX9'}]"	HPIdb;IntAct	{'28169297'}
"[{'P12848', 'Q8WW38'}]"	HPIdb	{'19637933'}
"[{'Q8WW39', 'Q5NHI7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'Q8WW43'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q8WWB7', 'P69980'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WWH5', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'Q8WWM7', 'A0A380SAM5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WWM7', 'A0A2U2GWL4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PFU9', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4BJ32', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PDJ5', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PT45', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9ZC68', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'Q8WWM7'}]"	HPIdb	{'25464832'}
"[{'Q8WWM7', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'Q8WWM7'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q81KT8', 'Q8WWM7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WWM7', 'Q8ZFX5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WWQ0', 'O84952'}]"	Manual	{'31611645'}
"[{'Q8WWQ0', 'Q56061'}]"	Manual	{'31611645'}
"[{'Q8WWQ0', 'A0A6L8PCK7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WJE4', 'Q8WWU5'}]"	Manual	{'23800426'}
"[{'A0A2S9PLH1', 'Q8WWW0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFZ2', 'Q8WWW0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WWY3', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'Q6VGT1', 'Q8WWY3'}]"	HPIdb;IntAct	{'22810586'}
"[{'P03427', 'Q8WWY3'}]"	HPIdb	{'25464832'}
"[{'Q8WWY3', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q8WWY3', 'P05777'}]"	HPIdb	{'25464832'}
"[{'Q8WX93', 'A0A0H2WCL3'}]"	Manual	{'23800426'}
"[{'Q8WX93', 'Q5NGV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WX93', 'Q5NFP9'}]"	IntAct	{'26714771'}
"[{'Q81WA0', 'Q8WXA3'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PRJ9', 'Q8WXA3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXA9', 'A0A0H2W203'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXA9', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q8WXA9', 'Q62B07'}]"	Manual	{'23800426'}
"[{'Q8WXA9', 'Q663J7'}, {'Q8WXA9', 'P68587'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXA9', 'A0A0H2WD43'}]"	Manual	{'23800426'}
"[{'Q8WXD5', 'O84793'}]"	IntAct	{'26118995'}
"[{'Q8WXD5', 'P12520'}]"	HPIdb;IntAct	{'22190034'}
"[{'P03265', 'Q8WXE1'}]"	HPIdb;IntAct	{'19197236'}
"[{'P06821', 'Q8WXE1'}]"	HPIdb	{'26789921'}
"[{'Q8WXF1', 'P03508'}]"	HPIdb	{'26789921'}
"[{'Q5NII1', 'Q8WXG6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PXW6', 'Q8WXH0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5ZSD5', 'Q8WXH0'}]"	HPIdb;IntAct	{'17360363'}
"[{'Q8WXI9', 'A0A0H2W0I2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1M8', 'Q8WXI9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXI9', 'A0A6L7H9D5'}, {'A0A7U4F141', 'Q8WXI9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7ARH3', 'Q8WXI9'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H1G2', 'Q8WXI9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXI9', 'P84040'}]"	IntAct	{'16415179'}
"[{'Q81KT8', 'Q8WXI9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXI9', 'Q8CLC4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXI9', 'A0A6L7HNZ8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGF9', 'Q8WXW3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXW3', 'Q5NID1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXW3', 'Q5NHZ0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YE89', 'Q8WXW3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WXX5', 'P15682'}]"	HPIdb	{'25464832'}
"[{'Q8WXX7', 'Q8CLN2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6H3ACA2', 'Q8WY97'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WY97', 'Q81VT3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WY97', 'Q8D1P4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'Q8WYA0'}]"	HPIdb;IntAct	{'29176882'}
"[{'A0A6B3T0M9', 'Q8WYB5'}, {'A0A0H2YK87', 'Q8WYB5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PKB6', 'Q8WYB5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PBA4', 'Q8WYH8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81WK6', 'Q8WYH8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8WYH8', 'Q8ZAQ2'}]"	HPIdb;IntAct	{'20711500'}
